MJD,mA,e_mA,mB,e_mB
117.000,16.970,0.023,16.927,0.022
118.020,16.961,0.023,16.919,0.022
119.060,16.975,0.023,16.934,0.022
120.040,16.924,0.022,16.879,0.021
122.000,17.012,0.023,16.961,0.022
124.970,16.921,0.016,16.887,0.016
127.000,16.962,0.015,16.924,0.016
140.130,16.917,0.016,16.955,0.016
141.980,16.971,0.019,16.981,0.019
143.080,16.956,0.021,16.962,0.020
160.030,16.945,0.015,16.966,0.015
163.010,16.931,0.016,16.942,0.016
168.110,16.888,0.017,16.901,0.017
169.030,16.946,0.016,16.963,0.016
173.900,16.983,0.022,16.964,0.021
174.870,16.982,0.024,16.971,0.022
175.870,16.916,0.023,16.924,0.021
176.890,16.937,0.023,16.965,0.022
177.870,16.927,0.023,16.917,0.021
178.860,16.951,0.021,16.939,0.020
179.950,16.944,0.019,16.924,0.019
187.950,16.981,0.015,16.973,0.016
189.020,16.986,0.019,16.969,0.018
190.040,16.986,0.016,16.944,0.017
190.940,16.992,0.015,16.956,0.016
201.900,16.976,0.020,16.957,0.020
202.890,16.945,0.022,16.947,0.020
204.860,16.979,0.021,17.007,0.020
213.900,17.013,0.017,17.008,0.017
230.925,17.001,0.023,17.013,0.022
233.920,17.047,0.026,17.017,0.025
237.880,17.005,0.019,17.006,0.019
238.890,17.022,0.019,17.015,0.018
240.890,17.002,0.021,16.974,0.020
241.900,16.993,0.018,16.985,0.018
347.250,17.037,0.037,16.984,0.034
353.250,16.976,0.036,16.937,0.033
354.240,17.041,0.038,16.976,0.035
356.240,17.041,0.033,16.948,0.031
360.220,17.065,0.036,16.966,0.033
361.220,17.030,0.034,16.947,0.031
362.210,17.045,0.032,16.965,0.030
411.250,16.966,0.028,16.934,0.026
413.240,16.965,0.029,16.921,0.027
420.260,16.959,0.028,16.945,0.026
431.080,16.871,0.028,16.866,0.026
436.030,16.868,0.030,16.892,0.027
437.040,16.930,0.025,16.925,0.024
452.000,16.913,0.022,16.931,0.021
455.170,16.902,0.022,16.931,0.021
466.980,16.939,0.031,16.948,0.028
472.130,16.873,0.035,16.865,0.032
473.070,16.936,0.034,16.917,0.031
482.030,16.922,0.025,16.912,0.024
486.155,16.899,0.025,16.886,0.024
488.000,16.916,0.025,16.905,0.023
495.060,16.859,0.026,16.863,0.025
496.060,16.941,0.028,16.922,0.026
498.070,16.936,0.032,16.908,0.029
504.950,16.913,0.026,16.901,0.025
512.020,16.900,0.025,16.858,0.023
513.010,16.901,0.024,16.873,0.023
514.990,16.947,0.023,16.914,0.022
519.080,16.957,0.026,16.926,0.025
532.090,16.974,0.037,16.953,0.033
537.110,16.934,0.027,16.901,0.026
539.050,16.963,0.024,16.921,0.023
540.010,16.933,0.027,16.912,0.024
547.920,16.967,0.025,16.930,0.024
548.880,16.944,0.025,16.899,0.024
556.870,16.969,0.032,16.913,0.030
564.880,16.929,0.033,16.892,0.030
570.900,16.974,0.025,16.918,0.024
571.890,16.978,0.024,16.906,0.023
572.900,16.984,0.027,16.911,0.026
573.895,17.004,0.032,16.939,0.030
582.980,16.982,0.028,16.920,0.027
583.880,16.993,0.032,16.967,0.029
584.950,16.953,0.029,16.892,0.027
586.890,16.982,0.028,16.933,0.027
589.980,17.007,0.035,16.951,0.032
590.970,16.930,0.032,16.879,0.030
591.950,16.970,0.034,16.902,0.031
592.880,16.999,0.026,16.969,0.025
593.890,16.978,0.024,16.925,0.023
598.900,16.985,0.026,16.921,0.025
604.880,16.964,0.033,16.906,0.030
610.900,16.941,0.026,16.915,0.025
611.890,16.958,0.028,16.920,0.026
621.910,16.936,0.031,16.905,0.028
632.880,17.036,0.035,17.008,0.032
635.875,16.986,0.036,16.980,0.033
636.880,17.045,0.040,17.016,0.036
729.240,16.888,0.028,16.924,0.027
730.230,16.952,0.024,16.996,0.023
733.240,16.939,0.027,16.986,0.025
734.230,16.960,0.025,16.999,0.024
735.220,16.918,0.025,16.956,0.023
736.200,16.936,0.032,16.990,0.030
744.230,16.943,0.030,17.023,0.028
750.250,16.930,0.030,16.990,0.028
752.170,16.957,0.029,17.010,0.026
756.240,16.942,0.032,17.008,0.029
761.140,16.892,0.023,16.960,0.022
765.260,16.920,0.023,16.975,0.022
766.250,16.949,0.028,17.013,0.027
767.260,16.923,0.029,17.001,0.027
770.220,16.924,0.028,16.994,0.026
771.260,16.928,0.028,16.979,0.026
772.150,16.935,0.028,16.984,0.026
774.230,16.944,0.024,17.001,0.023
775.220,16.931,0.031,17.024,0.029
777.200,16.921,0.022,16.965,0.021
780.220,16.913,0.021,16.959,0.021
782.220,16.937,0.028,16.982,0.027
785.180,16.949,0.036,16.982,0.033
790.060,16.954,0.026,16.986,0.025
793.070,16.941,0.029,16.969,0.027
794.110,16.974,0.029,17.000,0.028
795.275,16.966,0.029,16.953,0.027
796.260,16.954,0.034,16.969,0.031
802.060,16.990,0.031,16.973,0.029
805.200,16.982,0.024,16.953,0.023
819.120,16.956,0.027,16.940,0.026
820.160,16.970,0.031,16.953,0.029
821.180,16.949,0.024,16.927,0.023
827.200,16.932,0.031,16.928,0.029
828.140,16.958,0.028,16.949,0.027
829.170,16.957,0.030,16.937,0.028
830.150,16.917,0.028,16.901,0.026
830.970,16.927,0.026,16.912,0.025
832.010,16.933,0.028,16.922,0.026
834.260,16.873,0.029,16.865,0.028
837.150,16.936,0.023,16.926,0.022
839.110,16.960,0.027,16.921,0.026
867.200,16.930,0.026,16.876,0.025
868.105,16.923,0.029,16.880,0.027
868.940,16.936,0.027,16.877,0.026
871.960,16.951,0.026,16.885,0.025
872.900,16.939,0.031,16.871,0.029
874.020,16.919,0.021,16.854,0.021
874.970,16.920,0.021,16.876,0.021
876.970,16.944,0.029,16.878,0.027
878.010,16.931,0.026,16.863,0.024
880.070,16.965,0.031,16.902,0.029
881.070,16.917,0.031,16.853,0.029
881.920,16.958,0.030,16.881,0.028
882.950,16.942,0.030,16.892,0.028
887.080,16.878,0.032,16.834,0.029
888.940,16.946,0.033,16.888,0.030
890.040,16.927,0.028,16.890,0.027
890.980,17.007,0.023,16.893,0.023
892.060,16.932,0.025,16.848,0.024
892.940,16.943,0.021,16.889,0.021
903.970,16.948,0.019,16.913,0.020
904.910,16.940,0.024,16.925,0.023
906.850,16.914,0.027,16.885,0.025
908.880,16.908,0.028,16.878,0.026
912.910,16.875,0.031,16.861,0.028
914.920,16.951,0.033,16.914,0.031
917.860,16.987,0.026,16.888,0.025
920.880,16.911,0.023,16.873,0.022
921.880,16.922,0.024,16.886,0.023
922.880,16.905,0.025,16.888,0.024
924.900,16.888,0.021,16.855,0.021
927.860,16.906,0.024,16.875,0.023
928.880,16.913,0.022,16.870,0.022
929.880,16.906,0.024,16.874,0.023
930.860,16.898,0.025,16.861,0.024
935.920,16.900,0.025,16.866,0.024
936.920,16.893,0.024,16.874,0.023
947.870,16.896,0.022,16.888,0.021
948.900,16.860,0.025,16.861,0.023
949.920,16.870,0.025,16.858,0.023
950.890,16.841,0.025,16.845,0.023
953.880,16.917,0.026,16.916,0.025
955.880,16.889,0.023,16.891,0.022
961.940,16.903,0.023,16.914,0.022
962.880,16.891,0.024,16.907,0.023
965.930,16.878,0.026,16.931,0.025
967.940,16.860,0.028,16.911,0.026
969.950,16.910,0.027,16.931,0.025
971.920,16.787,0.030,16.844,0.027
976.930,16.858,0.026,16.922,0.025
989.890,16.850,0.025,16.944,0.023
990.890,16.838,0.028,16.938,0.026
993.890,16.858,0.028,16.944,0.026
995.890,16.874,0.033,16.976,0.029
996.880,16.866,0.031,16.984,0.029
997.890,16.930,0.034,16.971,0.030
998.880,16.799,0.030,16.896,0.028
1082.256,16.862,0.023,16.970,0.022
1088.248,16.927,0.023,16.963,0.021
1106.239,16.894,0.020,16.934,0.019
1108.237,16.897,0.020,16.914,0.019
1110.245,16.865,0.019,16.901,0.018
1111.253,16.883,0.019,16.924,0.019
1112.251,16.891,0.018,16.919,0.018
1114.229,16.929,0.021,16.960,0.020
1115.235,16.877,0.020,16.917,0.019
1122.186,16.904,0.022,16.909,0.021
1127.210,16.909,0.020,16.944,0.020
1129.147,16.897,0.020,16.910,0.019
1130.201,16.921,0.019,16.921,0.019
1132.207,16.866,0.019,16.896,0.018
1137.248,16.888,0.018,16.884,0.018
1138.238,16.910,0.016,16.889,0.017
1139.229,16.940,0.016,16.922,0.017
1140.190,16.876,0.016,16.867,0.017
1141.279,16.889,0.022,16.940,0.021
1142.225,16.942,0.017,16.875,0.018
1143.227,16.890,0.019,16.885,0.019
1144.169,16.868,0.016,16.882,0.016
1146.277,16.910,0.035,16.874,0.033
1154.204,16.861,0.032,16.844,0.030
1155.202,16.885,0.031,16.874,0.029
1156.181,16.895,0.028,16.868,0.027
1157.131,16.876,0.028,16.835,0.027
1160.234,16.908,0.026,16.868,0.025
1162.195,16.921,0.026,16.886,0.025
1164.260,16.964,0.028,16.918,0.026
1169.131,16.919,0.030,16.890,0.028
1174.082,16.913,0.025,16.889,0.024
1175.168,16.918,0.026,16.891,0.025
1182.220,16.907,0.013,16.876,0.016
1197.086,16.937,0.013,16.980,0.015
1201.114,16.934,0.013,16.937,0.016
1202.030,16.940,0.013,16.932,0.016
1206.095,16.930,0.013,16.919,0.016
1207.050,16.954,0.013,16.919,0.016
1211.160,16.965,0.013,16.938,0.016
1212.001,16.947,0.013,16.920,0.016
1215.090,16.975,0.013,16.953,0.016
1220.131,16.993,0.013,16.982,0.016
1221.128,16.960,0.013,16.964,0.016
1222.077,16.979,0.013,16.997,0.015
1227.964,16.975,0.013,16.981,0.016
1228.984,16.979,0.013,16.986,0.016
1229.880,16.956,0.013,16.963,0.016
1230.927,16.966,0.009,16.976,0.011
1244.936,16.953,0.013,16.924,0.016
1248.082,16.966,0.013,16.906,0.017
1254.033,16.978,0.013,16.931,0.016
1254.944,16.959,0.013,16.895,0.017
1257.078,16.982,0.013,16.912,0.017
1257.921,16.960,0.013,16.901,0.017
1259.027,16.977,0.013,16.907,0.017
1259.968,16.968,0.013,16.898,0.017
1260.995,16.990,0.013,16.912,0.017
1264.016,16.993,0.013,16.885,0.017
1272.922,16.989,0.013,16.913,0.017
1274.019,16.974,0.013,16.903,0.017
1274.926,16.974,0.013,16.891,0.017
1284.984,16.981,0.013,16.909,0.017
1285.929,17.009,0.013,16.922,0.017
1286.964,16.985,0.009,16.909,0.012
1287.913,17.003,0.013,16.920,0.017
1288.895,17.002,0.013,16.905,0.017
1289.859,16.997,0.013,16.931,0.017
1293.917,16.981,0.013,16.911,0.017
1303.958,16.988,0.013,16.921,0.017
1305.012,16.980,0.013,16.922,0.016
1306.015,17.000,0.013,16.939,0.017
1307.972,16.971,0.013,16.934,0.016
1313.944,16.964,0.013,16.925,0.016
1314.892,17.004,0.013,16.938,0.017
1316.900,16.960,0.013,16.907,0.017
1317.900,16.972,0.013,16.926,0.016
1319.949,16.961,0.013,16.910,0.016
1321.921,16.967,0.013,16.887,0.017
1322.872,16.955,0.013,16.888,0.017
1323.872,16.954,0.013,16.902,0.016
1324.915,16.965,0.013,16.905,0.017
1326.977,16.954,0.013,16.867,0.017
1329.896,16.953,0.013,16.888,0.017
1331.931,16.978,0.013,16.919,0.017
1332.889,16.989,0.013,16.920,0.017
1333.919,16.958,0.013,16.915,0.016
1334.949,16.955,0.013,16.874,0.017
1342.921,16.965,0.013,16.905,0.017
1346.903,16.944,0.013,16.868,0.017
1347.901,16.964,0.013,16.864,0.017
1351.886,16.957,0.013,16.888,0.017
1454.227,16.916,0.013,16.854,0.017
1455.226,16.929,0.013,16.868,0.017
1458.214,16.921,0.013,16.876,0.016
1470.219,16.922,0.013,16.881,0.016
1471.231,16.909,0.013,16.867,0.016
1475.239,16.924,0.013,16.868,0.017
1495.190,16.925,0.013,16.891,0.016
1510.100,16.918,0.013,16.882,0.016
1511.100,16.942,0.013,16.878,0.017
1516.134,16.914,0.013,16.879,0.016
1523.192,16.951,0.013,16.893,0.017
1524.177,16.934,0.013,16.894,0.016
1525.148,16.956,0.013,16.913,0.016
1527.190,16.947,0.013,16.893,0.017
1539.140,16.938,0.013,16.907,0.016
1540.168,16.956,0.013,16.905,0.016
1541.186,16.942,0.013,16.895,0.016
1546.081,16.952,0.013,16.886,0.017
1547.053,16.944,0.013,16.890,0.016
1548.018,16.965,0.013,16.898,0.017
1561.171,16.963,0.013,16.894,0.017
1567.912,16.956,0.013,16.893,0.017
1569.012,16.961,0.006,16.901,0.010
1571.094,16.941,0.005,16.881,0.009
1572.008,16.954,0.006,16.890,0.010
1576.057,16.935,0.005,16.872,0.009
1577.067,16.952,0.006,16.890,0.010
1578.063,16.960,0.006,16.910,0.010
1579.086,16.962,0.005,16.910,0.009
1580.071,16.951,0.005,16.889,0.009
1582.252,16.933,0.013,16.873,0.016
1584.071,16.943,0.006,16.897,0.010
1585.054,16.952,0.005,16.907,0.009
1586.063,16.952,0.005,16.907,0.009
1589.094,16.937,0.013,16.904,0.016
1591.045,16.946,0.013,16.911,0.016
1605.027,16.913,0.009,16.878,0.012
1609.844,16.935,0.013,16.914,0.016
1626.105,16.939,0.013,16.954,0.016
1627.871,16.921,0.013,16.942,0.015
1638.878,16.913,0.013,16.940,0.015
1642.017,16.920,0.013,16.937,0.015
1643.043,16.925,0.013,16.943,0.015
1644.021,16.928,0.013,16.952,0.015
1645.026,16.907,0.009,16.920,0.011
1645.891,16.915,0.013,16.928,0.016
1646.871,16.919,0.013,16.920,0.016
1654.942,16.901,0.013,16.918,0.015
1655.943,16.910,0.013,16.943,0.015
1658.021,16.902,0.013,16.936,0.015
1660.011,16.914,0.013,16.943,0.015
1662.893,16.925,0.013,16.965,0.015
1664.890,16.892,0.013,16.932,0.015
1666.897,16.894,0.013,16.920,0.015
1679.939,16.906,0.013,16.969,0.015
1680.900,16.894,0.013,16.938,0.015
1681.898,16.922,0.013,16.971,0.015
1683.882,16.919,0.013,16.963,0.015
1684.953,16.886,0.013,16.941,0.015
1685.958,16.909,0.009,16.952,0.011
1687.894,16.920,0.013,16.964,0.015
1688.917,16.909,0.013,16.950,0.015
1720.886,16.935,0.013,16.957,0.015
1721.887,16.904,0.013,16.933,0.015
1815.236,16.871,0.013,16.926,0.015
1816.233,16.888,0.013,16.926,0.015
1818.229,16.863,0.013,16.910,0.015
1819.221,16.823,0.013,16.892,0.015
1820.226,16.834,0.013,16.903,0.015
1825.229,16.865,0.013,16.939,0.015
1826.219,16.851,0.013,16.923,0.015
1827.209,16.837,0.013,16.908,0.015
1835.237,16.859,0.013,16.918,0.015
1836.237,16.864,0.013,16.914,0.015
1837.239,16.857,0.013,16.886,0.015
1845.181,16.856,0.013,16.881,0.015
1846.208,16.852,0.013,16.873,0.015
1847.203,16.845,0.013,16.868,0.015
1854.194,16.868,0.013,16.886,0.015
1856.137,16.845,0.013,16.873,0.015
1857.219,16.841,0.013,16.857,0.015
1896.094,16.820,0.013,16.874,0.015
1906.137,16.846,0.013,16.881,0.015
1916.996,16.827,0.013,16.883,0.015
1924.016,16.831,0.013,16.872,0.015
1926.234,16.838,0.013,16.866,0.015
1927.219,16.822,0.013,16.871,0.015
1929.069,16.822,0.009,16.880,0.011
1930.099,16.831,0.007,16.880,0.010
1931.097,16.830,0.009,16.865,0.011
1932.042,16.833,0.009,16.883,0.011
1933.006,16.831,0.009,16.878,0.011
1934.073,16.833,0.009,16.878,0.011
1934.983,16.830,0.013,16.875,0.015
1935.944,16.843,0.013,16.895,0.015
1941.910,16.839,0.013,16.887,0.015
1943.942,16.828,0.013,16.893,0.015
1956.253,16.828,0.013,16.923,0.014
1957.242,16.805,0.013,16.893,0.015
1958.942,16.815,0.013,16.907,0.014
1959.977,16.811,0.013,16.904,0.014
1960.979,16.814,0.013,16.897,0.014
1961.967,16.823,0.013,16.909,0.014
1962.909,16.819,0.013,16.910,0.014
1963.980,16.803,0.009,16.902,0.010
1971.910,16.826,0.013,16.914,0.014
1977.081,16.813,0.013,16.911,0.014
1979.884,16.831,0.013,16.923,0.014
1982.092,16.797,0.013,16.909,0.014
1982.990,16.822,0.009,16.903,0.011
1983.968,16.843,0.013,16.939,0.014
1985.909,16.834,0.006,16.958,0.009
1986.875,16.831,0.013,16.938,0.014
1987.982,16.826,0.007,16.932,0.010
1988.903,16.840,0.009,16.942,0.010
1990.876,16.822,0.009,16.925,0.010
1991.869,16.806,0.013,16.909,0.014
1992.943,16.804,0.013,16.920,0.014
1999.925,16.802,0.013,16.914,0.014
2004.873,16.755,0.013,16.862,0.014
2009.866,16.787,0.013,16.890,0.014
2011.868,16.809,0.013,16.928,0.014
2034.912,16.781,0.013,16.894,0.014
2038.876,16.812,0.013,16.890,0.015
2039.968,16.801,0.013,16.877,0.015
2041.882,16.793,0.013,16.879,0.014
2042.883,16.821,0.013,16.883,0.015
2047.896,16.796,0.013,16.877,0.015
2049.903,16.797,0.013,16.873,0.015
2066.911,16.827,0.013,16.865,0.015
2262.108,16.905,0.013,16.846,0.017
2288.060,16.882,0.013,16.846,0.016
2290.080,16.888,0.013,16.845,0.016
2296.114,16.883,0.013,16.826,0.017
2297.065,16.878,0.013,16.829,0.016
2298.057,16.886,0.013,16.838,0.016
2299.127,16.877,0.013,16.817,0.017
2300.196,16.896,0.013,16.828,0.017
2305.056,16.897,0.013,16.831,0.017
2316.029,16.889,0.013,16.809,0.017
2320.059,16.912,0.013,16.825,0.017
2328.003,16.887,0.013,16.818,0.017
2351.037,16.873,0.013,16.828,0.016
2352.038,16.867,0.013,16.819,0.016
2354.047,16.865,0.013,16.814,0.016
2355.043,16.856,0.013,16.805,0.017
2356.947,16.870,0.013,16.828,0.016
2366.865,16.885,0.013,16.837,0.016
2367.867,16.866,0.013,16.816,0.017
2368.917,16.884,0.013,16.820,0.017
2369.864,16.855,0.013,16.811,0.016
2382.977,16.854,0.013,16.787,0.017
2383.979,16.866,0.013,16.793,0.017
2385.012,16.861,0.013,16.792,0.017
2392.922,16.864,0.013,16.792,0.017
2399.906,16.871,0.013,16.819,0.016
2415.928,16.850,0.013,16.791,0.017
2416.902,16.855,0.013,16.807,0.016
2417.914,16.848,0.013,16.793,0.017
2420.876,16.841,0.013,16.781,0.017
2421.911,16.852,0.013,16.789,0.017
2422.907,16.848,0.013,16.785,0.017
2427.876,16.863,0.013,16.807,0.016
2431.877,16.858,0.013,16.781,0.017
2432.877,16.867,0.013,16.803,0.017
2433.874,16.840,0.013,16.769,0.017
2434.873,16.852,0.013,16.788,0.017
2435.886,16.867,0.013,16.792,0.017
2436.876,16.849,0.013,16.781,0.017
2437.872,16.874,0.013,16.797,0.017
2441.877,16.867,0.013,16.787,0.017
2445.889,16.871,0.013,16.793,0.017
2451.899,16.883,0.013,16.794,0.017
2452.889,16.884,0.013,16.780,0.017
2453.883,16.877,0.013,16.784,0.017
2454.877,16.901,0.013,16.791,0.017
2455.882,16.877,0.013,16.774,0.017
2561.216,16.863,0.013,16.855,0.016
2579.244,16.886,0.013,16.876,0.016
2599.224,16.916,0.013,16.885,0.016
2615.186,16.908,0.013,16.891,0.016
2617.225,16.921,0.013,16.908,0.016
2635.224,16.932,0.013,16.879,0.016
2636.048,16.947,0.013,16.904,0.016
2637.131,16.946,0.013,16.893,0.017
2639.155,16.950,0.013,16.910,0.016
2645.156,16.959,0.013,16.898,0.017
2647.146,16.951,0.013,16.893,0.017
2648.190,16.951,0.013,16.897,0.016
2649.142,16.951,0.009,16.889,0.012
2663.047,16.946,0.013,16.893,0.017
2666.222,16.949,0.013,16.884,0.017
2668.160,16.958,0.013,16.880,0.017
2673.016,16.976,0.013,16.905,0.017
2676.083,16.974,0.013,16.897,0.017
2677.001,16.973,0.013,16.896,0.017
2682.029,16.978,0.013,16.911,0.017
2691.033,16.970,0.013,16.887,0.017
2695.011,16.976,0.013,16.885,0.017
2699.062,16.967,0.013,16.885,0.017
2708.003,16.991,0.013,16.896,0.017
2724.940,16.980,0.013,16.921,0.016
2725.940,16.982,0.013,16.931,0.017
2739.934,16.964,0.013,16.908,0.017
2754.892,16.977,0.013,16.894,0.017
2759.919,16.969,0.013,16.885,0.017
2760.884,16.975,0.013,16.880,0.017
2762.895,16.971,0.013,16.888,0.017
2763.905,16.963,0.013,16.865,0.017
2764.891,16.958,0.013,16.866,0.017
2765.906,16.967,0.013,16.870,0.017
2766.912,16.985,0.013,16.891,0.017
2768.880,16.967,0.013,16.883,0.017
2770.868,16.966,0.013,16.873,0.017
2786.901,16.974,0.013,16.879,0.017
2788.871,16.960,0.013,16.854,0.017
2790.883,16.993,0.013,16.889,0.017
2791.868,16.980,0.013,16.867,0.017
2795.872,16.973,0.013,16.866,0.017
2796.880,16.966,0.013,16.869,0.017
2797.892,16.959,0.013,16.856,0.017
2800.874,16.961,0.013,16.862,0.017
2802.878,16.949,0.013,16.865,0.017
2943.234,16.996,0.013,16.934,0.017
2948.224,16.961,0.013,16.897,0.017
2949.237,16.956,0.013,16.890,0.017
2952.184,16.931,0.013,16.892,0.016
2953.228,16.946,0.013,16.884,0.017
2971.261,16.948,0.013,16.860,0.017
2980.243,16.920,0.013,16.846,0.017
2985.197,16.933,0.013,16.853,0.017
2989.163,16.925,0.013,16.858,0.017
2990.235,16.949,0.013,16.866,0.017
2992.247,16.921,0.013,16.847,0.017
3000.166,16.957,0.013,16.883,0.017
3017.197,16.965,0.013,16.907,0.017
3019.202,17.021,0.013,16.941,0.017
3020.225,16.985,0.013,16.929,0.017
3028.281,16.974,0.013,16.932,0.016
3032.055,16.981,0.013,16.913,0.017
3037.223,16.971,0.013,16.908,0.017
3038.156,16.980,0.013,16.875,0.017
3045.222,16.992,0.013,16.947,0.016
3049.125,16.995,0.013,16.956,0.016
3064.192,17.014,0.013,16.962,0.016
3065.177,17.028,0.013,16.975,0.016
3074.072,17.033,0.013,16.995,0.016
3080.056,17.039,0.013,16.995,0.016
3083.096,17.012,0.013,16.987,0.016
3098.985,17.018,0.013,17.000,0.016
3114.893,17.012,0.013,17.000,0.016
3118.041,17.015,0.013,16.988,0.016
