MJD,mA,e_mA,mB,e_mB
3133.944,17.008,0.013,16.995,0.016
3142.895,17.031,0.013,16.996,0.016
3154.901,16.989,0.013,16.954,0.016
3312.267,16.956,0.013,16.890,0.017
3330.222,16.965,0.013,16.934,0.016
3359.240,16.958,0.013,16.921,0.016
3369.254,16.967,0.013,16.939,0.016
3370.117,16.967,0.013,16.942,0.016
3378.036,16.976,0.013,16.940,0.016
3381.169,16.989,0.013,16.958,0.016
3383.260,16.975,0.013,16.937,0.016
3390.094,16.984,0.013,16.948,0.016
3391.114,16.949,0.013,16.918,0.016
3393.243,16.990,0.013,16.948,0.016
3440.009,16.983,0.013,16.948,0.016
3444.001,16.984,0.013,16.962,0.016
3446.034,16.993,0.013,16.989,0.016
3455.985,16.993,0.013,16.954,0.016
3460.949,16.969,0.013,16.965,0.016
3462.928,17.005,0.013,17.002,0.016
3466.087,16.994,0.013,16.972,0.016
3474.900,16.978,0.013,16.995,0.016
3477.968,16.992,0.013,17.011,0.015
3490.872,16.979,0.013,17.015,0.015
3492.912,16.981,0.013,17.028,0.015
3507.872,16.966,0.013,17.002,0.015
3510.899,16.969,0.013,16.986,0.015
3529.919,16.971,0.013,16.996,0.015
3534.872,16.967,0.013,17.009,0.015
3539.914,16.958,0.013,17.014,0.015
3549.878,16.978,0.013,17.016,0.015
3649.219,17.049,0.008,16.896,0.009
3654.231,17.037,0.013,16.908,0.018
3656.216,17.036,0.011,16.911,0.013
3662.217,17.037,0.008,16.916,0.009
3662.227,17.032,0.013,16.916,0.017
3664.205,17.021,0.008,16.911,0.009
3666.192,17.037,0.013,16.937,0.017
3667.226,17.032,0.008,16.922,0.009
3675.234,17.019,0.013,16.923,0.017
3676.170,17.019,0.008,16.917,0.009
3677.177,17.016,0.011,16.925,0.013
3678.232,17.023,0.011,16.919,0.013
3680.125,17.018,0.008,16.911,0.009
3680.231,17.020,0.013,16.897,0.017
3681.153,17.027,0.011,16.927,0.013
3684.178,17.015,0.008,16.927,0.009
3685.109,17.008,0.011,16.925,0.013
3692.208,17.011,0.008,16.929,0.009
3693.111,17.014,0.011,16.939,0.013
3700.182,17.010,0.008,16.938,0.009
3708.067,17.010,0.011,16.959,0.012
3712.105,17.012,0.011,16.948,0.013
3719.129,17.036,0.011,16.964,0.013
3731.115,17.039,0.011,16.980,0.013
3735.000,17.019,0.008,16.975,0.009
3737.065,17.017,0.012,16.978,0.012
3766.117,17.011,0.011,16.982,0.012
3768.935,17.011,0.011,16.973,0.012
3783.053,17.000,0.011,16.980,0.012
3792.917,16.987,0.011,16.963,0.012
3797.008,16.983,0.011,16.960,0.012
3799.891,16.988,0.011,16.977,0.012
3801.913,17.000,0.011,16.967,0.012
3802.911,16.981,0.011,16.969,0.012
3803.934,16.992,0.011,16.983,0.012
3812.923,17.000,0.011,16.979,0.012
3813.942,16.996,0.011,16.973,0.012
3823.888,16.999,0.012,16.975,0.012
3825.003,16.988,0.011,16.979,0.012
3825.872,16.977,0.011,16.957,0.012
3826.872,16.992,0.011,16.983,0.012
3827.872,16.984,0.011,16.969,0.012
3830.028,16.982,0.012,16.960,0.012
3831.879,16.973,0.011,16.960,0.012
3832.876,16.976,0.011,16.957,0.012
3840.961,16.982,0.012,16.966,0.012
3842.959,16.982,0.012,16.966,0.012
3844.959,16.996,0.011,16.977,0.012
3847.942,16.996,0.011,16.961,0.012
3848.938,16.987,0.011,16.957,0.012
3852.925,16.995,0.011,16.966,0.012
3853.925,16.988,0.011,16.966,0.012
3854.965,16.989,0.011,16.966,0.012
3858.906,17.001,0.011,16.947,0.012
3859.948,16.991,0.011,16.947,0.012
3860.903,17.011,0.011,16.949,0.012
3861.904,16.993,0.011,16.938,0.012
3863.952,16.987,0.011,16.941,0.012
3865.896,17.013,0.011,16.965,0.012
3866.935,16.995,0.011,16.949,0.012
3867.895,17.001,0.011,16.943,0.012
3869.899,16.995,0.011,16.933,0.012
3872.900,16.999,0.012,16.958,0.012
3874.916,16.993,0.011,16.947,0.012
3875.975,17.004,0.011,16.960,0.012
3878.917,16.999,0.012,16.935,0.012
3879.910,16.994,0.011,16.937,0.012
3880.913,17.009,0.011,16.942,0.013
3886.914,16.992,0.011,16.934,0.012
3887.916,16.998,0.011,16.941,0.012
3888.968,16.994,0.011,16.934,0.012
3889.911,16.989,0.011,16.939,0.012
3891.916,16.988,0.011,16.942,0.012
3893.925,16.985,0.011,16.938,0.012
4010.245,17.020,0.011,16.981,0.012
4029.173,16.995,0.011,17.040,0.011
4031.159,16.992,0.011,17.043,0.011
4032.150,16.996,0.011,17.028,0.011
4056.076,16.977,0.011,17.049,0.011
4057.106,16.978,0.011,17.065,0.011
4062.069,16.970,0.011,17.048,0.011
4069.041,16.944,0.011,17.034,0.011
4070.075,16.958,0.011,17.047,0.011
4083.055,16.954,0.011,17.033,0.011
4084.038,16.943,0.011,17.034,0.011
4085.058,16.924,0.011,17.007,0.011
4090.988,16.933,0.011,17.001,0.011
4100.029,16.939,0.011,17.008,0.011
4110.936,16.926,0.011,16.974,0.011
4114.955,16.926,0.011,17.001,0.011
4119.914,16.928,0.011,16.993,0.011
4122.012,16.907,0.011,16.980,0.011
4122.944,16.933,0.011,16.994,0.011
4137.971,16.922,0.011,17.019,0.011
4139.200,16.914,0.012,17.010,0.011
4139.899,16.900,0.011,16.993,0.011
4140.886,16.897,0.012,17.002,0.011
4141.919,16.896,0.011,17.006,0.011
4142.922,16.893,0.011,16.997,0.011
4144.915,16.892,0.011,16.989,0.011
4145.899,16.876,0.011,16.981,0.011
4147.877,16.887,0.011,16.984,0.011
4148.869,16.907,0.011,17.008,0.011
4149.881,16.904,0.011,17.001,0.011
4151.882,16.890,0.011,16.980,0.011
4152.903,16.892,0.011,16.988,0.011
4153.899,16.888,0.011,16.999,0.011
4154.898,16.901,0.011,16.995,0.011
4155.880,16.889,0.011,16.995,0.011
4156.876,16.892,0.011,16.983,0.011
4157.883,16.901,0.011,16.989,0.011
4171.880,16.885,0.011,17.004,0.011
4195.001,16.893,0.011,16.955,0.011
4196.053,16.886,0.011,16.951,0.011
4197.027,16.914,0.012,16.960,0.011
4202.013,16.895,0.011,16.956,0.011
4203.026,16.906,0.011,16.954,0.011
4203.987,16.901,0.011,16.950,0.011
4205.002,16.898,0.011,16.942,0.011
4205.972,16.897,0.012,16.951,0.011
4208.058,16.902,0.011,16.944,0.011
4209.971,16.903,0.011,16.946,0.011
4210.929,16.913,0.011,16.953,0.011
4211.940,16.919,0.011,16.969,0.011
4212.921,16.931,0.011,16.964,0.012
4217.910,16.916,0.011,16.959,0.011
4218.981,16.948,0.011,16.967,0.012
4219.915,16.924,0.011,16.947,0.012
4220.958,16.953,0.011,16.985,0.011
4224.913,16.962,0.011,16.981,0.012
4227.941,16.957,0.011,16.974,0.012
4232.938,16.955,0.011,16.955,0.012
4235.947,16.950,0.011,16.967,0.012
4236.965,16.952,0.011,16.973,0.012
4239.921,16.958,0.011,16.981,0.012
4247.954,16.944,0.011,16.975,0.011
4248.974,16.944,0.011,16.980,0.011
4498.167,17.108,0.011,16.888,0.014
4501.061,17.121,0.011,16.892,0.014
4501.998,17.121,0.011,16.880,0.014
4503.871,17.118,0.011,16.891,0.014
4507.854,17.131,0.011,16.890,0.014
4514.874,17.086,0.011,16.871,0.014
4525.979,17.108,0.011,16.882,0.014
4526.912,17.108,0.011,16.894,0.014
4529.926,17.093,0.011,16.877,0.014
4531.866,17.081,0.011,16.876,0.014
4532.897,17.090,0.011,16.892,0.014
4533.869,17.094,0.011,16.886,0.014
4535.923,17.092,0.011,16.885,0.014
4536.875,17.096,0.011,16.883,0.014
4538.871,17.089,0.011,16.872,0.014
4539.868,17.079,0.011,16.857,0.014
4540.870,17.090,0.011,16.870,0.014
4543.035,17.092,0.011,16.876,0.014
4543.929,17.088,0.011,16.873,0.014
4545.035,17.077,0.011,16.870,0.014
4553.902,17.087,0.011,16.847,0.014
4554.893,17.094,0.011,16.861,0.014
4555.887,17.095,0.011,16.858,0.014
4556.951,17.101,0.011,16.848,0.014
4558.037,17.092,0.011,16.851,0.014
4561.885,17.094,0.011,16.851,0.014
4568.889,17.088,0.011,16.837,0.014
4570.892,17.094,0.011,16.850,0.014
4571.925,17.103,0.011,16.838,0.015
4572.889,17.083,0.011,16.832,0.014
4574.885,17.085,0.011,16.834,0.014
4575.894,17.094,0.011,16.842,0.014
4576.890,17.099,0.011,16.835,0.015
4577.900,17.094,0.011,16.835,0.015
4578.932,17.101,0.011,16.839,0.014
4579.917,17.080,0.011,16.822,0.014
4580.917,17.093,0.011,16.826,0.015
4585.892,17.075,0.011,16.792,0.015
4587.953,17.087,0.011,16.800,0.015
4589.972,17.082,0.011,16.798,0.015
4591.894,17.088,0.011,16.793,0.015
4595.896,17.089,0.011,16.785,0.015
4597.914,17.089,0.011,16.776,0.015
4598.939,17.102,0.011,16.790,0.015
4599.912,17.108,0.011,16.790,0.015
4600.941,17.087,0.011,16.782,0.015
4604.047,17.096,0.011,16.821,0.015
4604.909,17.099,0.011,16.796,0.015
4606.913,17.113,0.011,16.816,0.015
4607.925,17.104,0.011,16.815,0.015
4609.970,17.111,0.011,16.819,0.015
4611.951,17.124,0.011,16.845,0.015
4614.924,17.127,0.011,16.833,0.015
4622.926,17.140,0.011,16.869,0.015
4626.924,17.101,0.011,16.823,0.015
4777.221,17.128,0.011,16.958,0.013
4779.122,17.101,0.011,16.943,0.013
4780.222,17.114,0.011,16.950,0.013
4781.212,17.129,0.011,16.959,0.013
4787.082,17.123,0.011,16.954,0.013
4788.087,17.131,0.011,16.952,0.013
4789.100,17.111,0.011,16.940,0.013
4794.054,17.144,0.011,16.973,0.013
4795.225,17.148,0.011,16.976,0.013
4796.098,17.156,0.011,16.971,0.014
4799.041,17.139,0.011,16.979,0.013
4800.040,17.149,0.011,16.980,0.013
4802.037,17.166,0.011,16.984,0.013
4808.086,17.148,0.011,16.997,0.013
4810.038,17.178,0.011,17.012,0.013
4811.059,17.124,0.011,16.973,0.013
4814.044,17.159,0.011,17.003,0.013
4817.131,17.162,0.011,17.012,0.013
4818.071,17.151,0.011,16.996,0.013
4818.999,17.155,0.011,17.013,0.013
4821.157,17.163,0.011,17.014,0.013
4822.118,17.166,0.011,17.010,0.013
4822.988,17.164,0.011,17.024,0.013
4828.995,17.162,0.011,17.042,0.013
4833.964,17.170,0.011,17.041,0.013
4834.991,17.151,0.011,17.048,0.013
4836.086,17.168,0.011,17.053,0.013
4845.079,17.150,0.011,17.047,0.013
4846.037,17.148,0.011,17.052,0.013
4852.123,17.140,0.011,17.057,0.012
4853.078,17.156,0.011,17.069,0.012
4855.100,17.131,0.011,17.059,0.012
4856.082,17.134,0.011,17.067,0.012
4857.019,17.140,0.011,17.057,0.012
4858.010,17.133,0.011,17.064,0.012
4858.999,17.121,0.011,17.053,0.012
4878.863,17.083,0.011,17.033,0.012
4879.901,17.086,0.011,17.042,0.012
4884.929,17.084,0.011,17.058,0.012
4895.914,17.050,0.011,17.069,0.011
4899.865,17.024,0.011,17.070,0.011
4903.893,17.027,0.011,17.073,0.011
4906.027,17.041,0.011,17.084,0.011
4910.936,17.008,0.011,17.077,0.011
4911.949,17.022,0.011,17.097,0.011
4912.929,17.020,0.011,17.089,0.011
4913.893,17.041,0.011,17.101,0.011
4918.937,17.021,0.011,17.101,0.011
4920.872,17.006,0.011,17.096,0.010
4921.989,17.012,0.011,17.091,0.011
4922.876,17.021,0.011,17.100,0.011
4923.871,17.002,0.011,17.095,0.010
4926.025,17.017,0.011,17.092,0.011
4926.949,17.022,0.011,17.099,0.011
4927.877,16.994,0.011,17.100,0.010
4931.875,17.013,0.011,17.096,0.011
4933.875,17.020,0.011,17.110,0.011
4934.993,17.013,0.011,17.085,0.011
4935.972,17.006,0.011,17.083,0.011
4936.888,17.013,0.011,17.091,0.011
4937.893,16.999,0.011,17.103,0.010
4939.100,17.011,0.011,17.097,0.010
4940.885,17.008,0.011,17.087,0.011
4941.882,17.004,0.011,17.104,0.010
4942.891,16.998,0.011,17.086,0.011
4944.073,17.004,0.011,17.079,0.011
4944.965,17.004,0.011,17.085,0.011
4945.966,17.011,0.011,17.075,0.011
4948.893,16.996,0.011,17.069,0.011
4950.899,16.993,0.011,17.063,0.011
4953.889,16.991,0.011,17.073,0.011
4954.962,17.016,0.011,17.089,0.011
4955.888,17.015,0.011,17.076,0.011
4957.036,16.992,0.011,17.054,0.011
4957.974,17.016,0.011,17.067,0.011
4962.975,17.037,0.011,17.082,0.011
4963.940,17.010,0.011,17.065,0.011
4964.970,16.998,0.011,17.072,0.011
4965.989,17.020,0.011,17.077,0.011
4966.907,17.012,0.011,17.079,0.011
4969.902,17.031,0.011,17.075,0.011
4970.907,17.017,0.011,17.072,0.011
4972.902,17.004,0.011,17.067,0.011
4974.917,17.030,0.011,17.087,0.011
4976.021,17.041,0.011,17.076,0.011
4976.979,17.029,0.011,17.072,0.011
4978.902,17.026,0.011,17.075,0.011
4980.903,17.038,0.011,17.072,0.011
4981.903,17.040,0.011,17.071,0.011
4982.935,17.030,0.011,17.067,0.011
4983.909,17.039,0.011,17.069,0.011
4986.966,17.034,0.011,17.063,0.011
4989.930,17.061,0.011,17.089,0.011
4991.915,17.045,0.011,17.066,0.011
5107.195,16.996,0.011,17.116,0.010
5108.192,16.993,0.011,17.102,0.010
5110.186,17.001,0.011,17.117,0.010
5111.184,17.000,0.011,17.096,0.010
5112.227,16.983,0.011,17.096,0.010
5113.202,16.989,0.011,17.115,0.010
5114.176,17.011,0.011,17.116,0.010
5116.170,17.011,0.011,17.119,0.010
5117.174,17.004,0.011,17.123,0.010
5119.208,16.988,0.011,17.096,0.010
5120.200,16.983,0.011,17.087,0.010
5124.209,16.949,0.011,17.077,0.010
5127.147,17.006,0.011,17.123,0.010
5128.138,16.976,0.011,17.091,0.010
5129.140,16.992,0.011,17.102,0.010
5130.133,16.991,0.011,17.107,0.010
5131.221,16.976,0.011,17.096,0.010
5132.129,16.995,0.011,17.106,0.010
5134.121,16.969,0.011,17.091,0.010
5135.128,16.969,0.011,17.090,0.010
5136.116,16.984,0.011,17.091,0.010
5137.118,16.974,0.011,17.075,0.010
5138.118,16.978,0.011,17.086,0.010
5139.115,16.980,0.011,17.085,0.010
5140.161,17.000,0.011,17.092,0.011
5142.101,16.975,0.011,17.090,0.010
5143.150,16.979,0.011,17.094,0.010
5144.093,16.982,0.011,17.098,0.010
5145.142,16.983,0.011,17.089,0.010
5147.090,17.005,0.011,17.102,0.010
5149.103,16.983,0.011,17.071,0.011
5150.134,16.989,0.011,17.080,0.010
5192.120,16.996,0.011,17.058,0.011
5196.975,16.980,0.011,17.035,0.011
5201.050,16.984,0.011,17.059,0.011
5204.124,16.995,0.011,17.068,0.011
5208.984,17.016,0.011,17.090,0.011
5211.136,17.007,0.011,17.080,0.011
5211.913,17.018,0.011,17.093,0.011
5215.897,17.018,0.011,17.101,0.011
5216.894,17.010,0.011,17.100,0.010
5219.011,17.028,0.011,17.099,0.011
5219.889,17.026,0.011,17.101,0.011
5220.900,17.034,0.011,17.095,0.011
5221.896,17.017,0.011,17.094,0.011
5222.878,17.021,0.011,17.108,0.011
5230.898,17.023,0.011,17.101,0.011
5231.896,17.032,0.011,17.122,0.010
5232.880,17.038,0.011,17.112,0.011
5233.878,17.052,0.011,17.128,0.011
5234.897,17.038,0.011,17.113,0.011
5235.886,17.037,0.011,17.111,0.011
5236.877,17.033,0.011,17.096,0.011
5237.875,17.054,0.011,17.106,0.011
5250.940,17.060,0.011,17.132,0.011
5252.014,17.055,0.011,17.116,0.011
5275.956,17.060,0.011,17.085,0.011
5278.050,17.064,0.011,17.077,0.011
5278.980,17.069,0.011,17.065,0.011
5279.871,17.073,0.011,17.067,0.012
5280.879,17.069,0.011,17.059,0.011
5281.922,17.045,0.011,17.052,0.011
5284.876,17.045,0.011,17.048,0.011
5286.973,17.062,0.011,17.058,0.011
5291.015,17.063,0.011,17.042,0.012
5292.009,17.062,0.011,17.045,0.012
5295.940,17.070,0.011,17.038,0.012
5296.915,17.056,0.011,17.036,0.012
5297.918,17.060,0.011,17.025,0.012
5307.923,17.055,0.011,17.008,0.012
5308.894,17.037,0.011,16.982,0.012
5310.898,17.050,0.011,16.997,0.012
5311.913,17.050,0.011,16.987,0.012
5312.951,17.060,0.011,17.006,0.012
5319.962,17.066,0.011,16.982,0.012
5320.914,17.062,0.011,16.978,0.012
5321.898,17.055,0.011,16.970,0.012
5335.920,17.034,0.011,16.932,0.012
5336.919,17.048,0.011,16.940,0.013
5337.915,17.044,0.011,16.931,0.013
5340.911,17.036,0.011,16.927,0.013
5341.905,17.018,0.011,16.921,0.012
5342.988,17.020,0.011,16.929,0.012
5343.904,17.021,0.011,16.917,0.013
5345.942,17.015,0.011,16.908,0.013
5346.978,17.019,0.011,16.924,0.012
5358.932,16.997,0.011,16.907,0.012
5363.965,16.977,0.011,16.887,0.012
5371.942,16.995,0.011,16.889,0.013
5372.927,17.005,0.011,16.910,0.013
5564.098,17.149,0.012,16.929,0.015
5579.175,17.134,0.008,16.909,0.010
5598.004,17.134,0.012,16.919,0.015
5605.015,17.149,0.012,16.910,0.015
5607.017,17.157,0.012,16.928,0.015
5692.068,17.082,0.012,17.003,0.013
5697.943,17.086,0.012,16.997,0.013
5701.982,17.076,0.012,17.007,0.013
5729.942,17.080,0.012,16.992,0.013
5731.945,17.095,0.012,16.996,0.013
5867.208,17.166,0.012,16.958,0.015
5895.193,17.183,0.012,16.955,0.015
5898.241,17.168,0.012,16.960,0.014
5901.170,17.185,0.012,16.980,0.014
5909.161,17.142,0.012,16.955,0.014
5914.212,17.153,0.012,16.958,0.014
5917.202,17.142,0.012,16.959,0.014
5921.202,17.138,0.012,16.983,0.014
5927.205,17.139,0.012,17.000,0.014
5937.093,17.121,0.012,17.022,0.013
5941.196,17.112,0.012,17.041,0.013
5950.051,17.134,0.012,17.054,0.013
5953.135,17.148,0.012,17.062,0.013
5959.052,17.102,0.012,17.027,0.013
5983.133,17.099,0.012,17.044,0.013
5989.945,17.096,0.012,17.049,0.012
6007.057,17.089,0.012,17.063,0.012
6011.929,17.098,0.012,17.069,0.012
6013.964,17.073,0.012,17.070,0.012
6017.925,17.066,0.012,17.045,0.012
6033.919,17.074,0.012,17.052,0.012
6054.045,17.085,0.012,17.000,0.013
6212.220,17.085,0.010,17.020,0.013
6225.214,17.083,0.010,17.042,0.013
6254.079,17.075,0.010,17.053,0.013
6265.148,17.032,0.010,17.026,0.013
6271.243,17.049,0.010,17.064,0.013
6278.058,17.054,0.010,17.073,0.013
6284.994,17.075,0.010,17.087,0.013
6291.976,17.048,0.010,17.093,0.013
6298.956,17.042,0.010,17.101,0.013
6305.958,17.058,0.010,17.082,0.013
6312.955,17.025,0.010,17.043,0.013
6319.934,17.053,0.010,17.067,0.013
6326.016,17.029,0.010,17.015,0.013
6334.876,17.053,0.010,17.041,0.013
6344.163,17.075,0.012,17.009,0.012
6344.850,17.063,0.010,16.986,0.013
6364.863,17.081,0.010,16.987,0.013
6374.851,17.071,0.010,16.989,0.013
6399.888,17.086,0.010,16.959,0.013
6420.016,17.077,0.010,16.950,0.013
6426.037,17.065,0.010,16.927,0.013
6578.255,16.956,0.010,16.892,0.013
6592.254,16.995,0.010,16.902,0.013
6598.206,16.988,0.010,16.901,0.013
6617.085,17.014,0.010,16.907,0.013
6622.203,17.004,0.010,16.909,0.013
6630.263,17.004,0.010,16.930,0.013
6643.194,17.004,0.010,16.942,0.013
6651.017,17.006,0.010,16.925,0.013
6657.001,17.008,0.010,16.941,0.013
6662.135,17.004,0.012,16.935,0.012
6664.097,17.011,0.010,16.932,0.013
6671.023,17.008,0.010,16.927,0.013
6685.045,17.008,0.010,16.877,0.013
6692.007,16.989,0.010,16.850,0.013
6698.916,17.010,0.010,16.911,0.013
6712.913,16.984,0.010,16.851,0.013
6720.022,17.017,0.010,16.887,0.013
6727.984,17.022,0.010,16.875,0.013
6733.866,17.005,0.010,16.863,0.013
6742.907,17.057,0.010,16.886,0.013
6754.894,17.075,0.010,16.895,0.013
6761.967,17.066,0.010,16.900,0.013
6768.888,17.074,0.010,16.916,0.013
6775.910,17.085,0.010,16.914,0.013
6782.903,17.080,0.010,16.900,0.013
6789.917,17.089,0.010,16.916,0.013
6796.949,17.101,0.010,16.923,0.013
6805.918,17.096,0.010,16.904,0.013
6810.936,17.115,0.010,16.926,0.013
6940.219,17.156,0.010,16.801,0.013
6946.206,17.167,0.010,16.808,0.013
6960.190,17.191,0.010,16.808,0.013
6968.130,17.195,0.010,16.795,0.013
6995.128,17.177,0.010,16.771,0.013
7010.215,17.180,0.010,16.792,0.013
7015.994,17.185,0.010,16.809,0.013
7023.033,17.200,0.010,16.812,0.013
7037.270,17.165,0.010,16.825,0.013
7044.116,17.167,0.010,16.838,0.013
7050.981,17.155,0.010,16.811,0.013
7058.086,17.157,0.010,16.842,0.013
7064.986,17.172,0.010,16.836,0.013
7079.931,17.197,0.010,16.840,0.013
7092.986,17.209,0.010,16.836,0.013
7108.931,17.248,0.010,16.842,0.013
7120.883,17.224,0.010,16.837,0.013
7127.886,17.230,0.010,16.849,0.013
7135.867,17.219,0.010,16.835,0.013
7141.863,17.220,0.010,16.852,0.013
7150.973,17.202,0.010,16.848,0.013
7155.887,17.214,0.010,16.861,0.013
7163.884,17.189,0.010,16.884,0.013
7171.913,17.192,0.010,16.895,0.013
7176.901,17.202,0.010,16.910,0.013
7306.246,17.072,0.010,16.950,0.013
7334.192,17.051,0.010,16.954,0.013
7348.128,17.088,0.010,17.006,0.013
7353.257,17.073,0.010,17.000,0.013
7367.105,17.067,0.010,17.013,0.013
7374.272,17.048,0.010,17.009,0.013
7395.039,17.039,0.010,16.981,0.013
7409.124,17.060,0.010,17.028,0.013
7429.939,17.032,0.010,17.036,0.013
7451.987,16.997,0.010,16.986,0.013
7457.919,16.981,0.010,16.958,0.013
7464.920,16.978,0.010,16.949,0.013
7474.064,17.007,0.010,16.993,0.013
7478.925,16.997,0.010,16.967,0.013
7500.945,17.045,0.010,17.026,0.013
7506.901,17.033,0.010,17.034,0.013
7513.910,17.039,0.010,17.050,0.013
7527.899,17.026,0.010,17.052,0.013
