galaxy,sigma_kms,error_kms,source,method,notes,pgc,direct_sigma_spread_kms
LMC,27.411764705882355,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 17223"", ""vrot"": 46.6}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 27.411764705882355}}",17223,
M 101,23.600000381469727,8.699999809265137,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.13700008392334, ""mode"": ""calibrated_vmax"", ""pgc"": 50063}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 74.94109542559978}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 5457""}, ""error_kms"": 8.699999809265137, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 23.600000381469727}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 50063""}, ""error_kms"": 14.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 43.7}}",50063,20.099999618530276
M 31,169.8000030517578,5.199999809265137,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.684000015258789, ""mode"": ""calibrated_vmax"", ""pgc"": 2557}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 155.72523423927396}, ""ho2007"": {""details"": {""T"": 3.0, ""Vm"": 244.39999389648438, ""W50"": 510.5, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 224"", ""sep_arcsec"": 1.922912476050842, ""sig0"": 169.6999969482422}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 169.6999969482422}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 224""}, ""error_kms"": 5.199999809265137, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 169.8000030517578}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 2557""}, ""error_kms"": 3.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 153.9}}",2557,15.900003051757807
NGC 0691,107.5,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.4700000286102295, ""mode"": ""calibrated_vmax"", ""pgc"": 6793}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 111.8417399823264}, ""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 208.39999389648438, ""W50"": 327.29998779296875, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 691"", ""sep_arcsec"": 0.32401953151842666, ""sig0"": 107.5}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 107.5}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 6793""}, ""error_kms"": 21.8, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 102.5}}",6793,
NGC 1015,106.5,6.6,HyperLEDA (ledacat.cgi),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.1510000228881836, ""mode"": ""calibrated_vmax"", ""pgc"": 9988}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 75.98978650426166}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 9988""}, ""error_kms"": 6.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 106.5}}",9988,
NGC 105,56.70588235294118,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 212515"", ""vrot"": 96.4}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 56.70588235294118}}",212515,
NGC 1309,82.0,26.7,HyperLEDA (ledacat.cgi),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.069999933242798, ""mode"": ""calibrated_vmax"", ""pgc"": 12626}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 70.3648536908665}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 12626""}, ""error_kms"": 26.7, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 82.0}}",12626,
NGC 1337,93.66356004916807,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.3369998931884766, ""mode"": ""calibrated_vmax"", ""pgc"": 12916}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 93.66356004916807}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 12916"", ""vrot"": 109.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 64.17647058823529}}",12916,
NGC 1365,151.39999389648438,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.559000015258789, ""mode"": ""calibrated_vmax"", ""pgc"": 13179}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 127.51474310212015}, ""ho2007"": {""details"": {""T"": 3.0999999046325684, ""Vm"": 192.60000610351562, ""W50"": 369.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 1365"", ""sep_arcsec"": 2.307045843116239, ""sig0"": 151.39999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 151.39999389648438}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 13179""}, ""error_kms"": 18.7, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 141.1}}",13179,
NGC 1448,129.88448326846657,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.571000099182129, ""mode"": ""calibrated_vmax"", ""pgc"": 13727}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 129.88448326846657}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 13727"", ""vrot"": 185.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 108.88235294117646}}",13727,
NGC 1559,72.62999725341797,,ApJ 929:84 (VizieR J/ApJ/929/84),stellar absorption,"{""apj929_84"": {""details"": {""Name"": ""NGC1559"", ""Sigma"": 72.62999725341797, ""catalog"": ""J/ApJ/929/84/sample"", ""sep_arcsec"": 0.37006005580430773}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""ApJ 929:84 (VizieR J/ApJ/929/84)"", ""value_kms"": 72.62999725341797}, ""hi_log2vm"": {""details"": {""log2vm"": 2.380000114440918, ""mode"": ""calibrated_vmax"", ""pgc"": 14814}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 98.94376341902375}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 14814"", ""vrot"": 134.3}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 79.00000000000001}}",14814,
NGC 2442,144.1558096642322,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.63700008392334, ""mode"": ""calibrated_vmax"", ""pgc"": 21373}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 144.1558096642322}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 21373"", ""vrot"": 226.7}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 133.35294117647058}}",21373,
NGC 2525,86.51095659398678,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.2709999084472656, ""mode"": ""calibrated_vmax"", ""pgc"": 22721}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 86.51095659398678}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 22721"", ""vrot"": 126.8}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 74.58823529411765}}",22721,
NGC 2608,86.61143545918993,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.2720000743865967, ""mode"": ""calibrated_vmax"", ""pgc"": 24111}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 86.61143545918993}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 24111"", ""vrot"": 104.3}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 61.35294117647059}}",24111,
NGC 3021,57.29999923706055,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.3570001125335693, ""mode"": ""calibrated_vmax"", ""pgc"": 28357}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 96.05453877379752}, ""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 126.0999984741211, ""W50"": 243.1999969482422, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3021"", ""sep_arcsec"": 0.6241073739471662, ""sig0"": 57.29999923706055}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 57.29999923706055}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 28357""}, ""error_kms"": 24.5, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 55.7}}",28357,
NGC 3147,219.8000030517578,8.699999809265137,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC3147"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 6.0, ""e_sigmaCaT"": 6.0, ""e_sigmaS"": 6.0, ""sep_arcsec"": 0.014640200306944533, ""sigma"": 247.0, ""sigmaCaT"": 232.0, ""sigmaS"": 247.0}, ""error_kms"": 6.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 247.0}, ""hi_log2vm"": {""details"": {""log2vm"": 2.5320000648498535, ""mode"": ""calibrated_vmax"", ""pgc"": 30019}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 122.41632416411471}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 3147""}, ""error_kms"": 8.699999809265137, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 219.8000030517578}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 30019""}, ""error_kms"": 7.4, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 223.9}}",30019,4.099996948242193
NGC 3254,117.80000305175781,4.099999904632568,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.565999984741211, ""mode"": ""calibrated_vmax"", ""pgc"": 30895}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 128.889112325422}, ""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 185.5, ""W50"": 401.79998779296875, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3254"", ""sep_arcsec"": 0.026417463671413167, ""sig0"": 117.80000305175781}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 117.80000305175781}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 3254""}, ""error_kms"": 4.099999904632568, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 117.80000305175781}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 30895""}, ""error_kms"": 5.8, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 129.9}}",30895,12.099996948242193
NGC 3370,94.5999984741211,9.399999618530273,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.390000104904175, ""mode"": ""calibrated_vmax"", ""pgc"": 32207}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 100.24846702632317}, ""ho2007"": {""details"": {""T"": 5.0, ""Vm"": 134.1999969482422, ""W50"": 266.1000061035156, ""bar"": ""N"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3370"", ""sep_arcsec"": 0.49168389497191406, ""sig0"": 48.0}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 48.0}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 3370""}, ""error_kms"": 9.399999618530273, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 94.5999984741211}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 32207""}, ""error_kms"": 9.9, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 92.4}}",32207,2.199998474121088
NGC 3447,67.77873663823307,,HyperLEDA HI (VII/238/hidat),HI proxy (calibrated_vmax),"{""hi_log2vm"": {""details"": {""log2vm"": 2.0269999504089355, ""mode"": ""calibrated_vmax"", ""pgc"": 32694}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 67.77873663823307}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""PGC 32694"", ""vrot"": 46.5}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 27.35294117647059}}",32694,
NGC 3583,131.6999969482422,10.100000381469727,Ho+2009 (J/ApJS/183/1),stellar absorption,"{""hi_log2vm"": {""details"": {""log2vm"": 2.493000030517578, ""mode"": ""calibrated_vmax"", ""pgc"": 34232}, ""error_kms"": null, ""method"": ""HI proxy (calibrated_vmax)"", ""source"": ""HyperLEDA HI (VII/238/hidat)"", ""value_kms"": 115.58958157709448}, ""ho2007"": {""details"": {""T"": 3.0999999046325684, ""Vm"": 215.5, ""W50"": 359.70001220703125, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 3583"", ""sep_arcsec"": 2.0447156917999108, ""sig0"": 142.89999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 142.89999389648438}, ""ho2009"": {""details"": {""LEDA"": ""LEDA"", ""NED"": ""NED"", ""Simbad"": ""Simbad"", ""catalog"": ""J/ApJS/183/1/table1"", ""l_sig"": """", ""matched_row"": 0, ""table_name"": ""NGC 3583""}, ""error_kms"": 10.100000381469727, ""method"": ""stellar absorption"", ""source"": ""Ho+2009 (J/ApJS/183/1)"", ""value_kms"": 131.6999969482422}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""PGC 34232""}, ""error_kms"": 7.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 131.4}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 1.0153147638781557, ""z"": 10.82126}, ""error_kms"": 3.726674, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 120.8712}}",34232,10.828796948242186
