galaxy,lit_sigma,lit_method,lit_source,leda_obj,pgc,hi_log2vm,leda_vdis,leda_e_vdis,leda_vrot,leda_w50,sigma_from_vrot,sigma_from_w50,sigma_from_hi,status,discrepancy_pct
NGC 0691,89,stellar absorption,HyperLEDA,PGC 6793,6793.0,2.4700000286102295,102.5,21.8,200.6,,118.0,,103.29232973796248,VERIFIED,13.170731707317074
NGC 1015,78,stellar absorption,Ho+2009,PGC 9988,9988.0,2.1510000228881836,106.5,6.6,120.7,,71.0,,49.55278491002817,DISCREPANT,26.76056338028169
NGC 1309,85,stellar absorption,HyperLEDA,PGC 12626,12626.0,2.069999933242798,82.0,26.7,162.1,,95.3529411764706,,41.12140810194122,VERIFIED,3.6585365853658534
NGC 1365,151,stellar absorption,Kormendy&Ho2013,PGC 13179,13179.0,2.559000015258789,141.1,18.7,198.3,,116.64705882352942,,126.78505390039422,VERIFIED,7.01630049610206
NGC 1448,95,HI linewidth proxy,HyperLEDA,PGC 13727,13727.0,2.571000099182129,,,185.1,,108.88235294117646,,130.33712695487495,DISCREPANT,27.11209597792446
NGC 1559,72,HI linewidth proxy,HyperLEDA,PGC 14814,14814.0,2.380000114440918,,,134.3,,79.00000000000001,,83.95917428975721,VERIFIED,14.244035140798426
NGC 2442,110,stellar absorption,HyperLEDA,PGC 21373,21373.0,2.63700008392334,,,226.7,,133.35294117647058,,151.72883675580846,NO_SIGMA_DATA,
NGC 2525,82,HI linewidth proxy,HyperLEDA,PGC 22721,22721.0,2.2709999084472656,,,126.8,,74.58823529411765,,65.32327540854547,DISCREPANT,25.5295290800328
NGC 2608,92,stellar absorption,SDSS DR7,PGC 24111,24111.0,2.2720000743865967,,,104.3,,61.35294117647059,,65.47388612726543,NO_SIGMA_DATA,
NGC 3021,88,stellar absorption,HyperLEDA,PGC 28357,28357.0,2.3570001125335693,55.7,24.5,136.7,,80.41176470588235,,79.628430710189,DISCREPANT,57.989228007181325
NGC 3147,238,stellar absorption,Kormendy&Ho2013,PGC 30019,30019.0,2.5320000648498535,223.9,7.4,334.6,,196.82352941176472,,119.14288418603917,VERIFIED,6.297454220634209
NGC 3254,95,stellar absorption,HyperLEDA,PGC 30895,30895.0,2.565999984741211,129.9,5.8,207.8,,122.23529411764707,,128.84513624795585,DISCREPANT,26.86682063125481
NGC 3370,85,stellar absorption,HyperLEDA,PGC 32207,32207.0,2.390000104904175,92.4,9.9,149.4,,87.88235294117648,,85.91483280176921,VERIFIED,8.008658008658013
NGC 3447,55,HI linewidth proxy,HyperLEDA,PGC 32694,32694.0,2.0269999504089355,,,46.5,,27.35294117647059,,37.2450013849318,DISCREPANT,47.67082280805429
NGC 3583,108,stellar absorption,HyperLEDA,PGC 34232,34232.0,2.493000030517578,131.4,7.0,181.4,,106.70588235294119,,108.9100794517476,VERIFIED,17.808219178082197
NGC 3972,78,HI linewidth proxy,HyperLEDA,PGC 37466,37466.0,2.3499999046325684,,,110.0,,64.70588235294117,,78.35522264373921,VERIFIED,0.45334903246247615
NGC 3982,82,stellar absorption,Ho+2009,PGC 37520,37520.0,2.2730000019073486,71.8,3.9,195.6,,115.05882352941177,,65.62480807057281,VERIFIED,14.20612813370474
NGC 4424,65,HI linewidth proxy,HyperLEDA,PGC 40809,40809.0,1.7669999599456787,56.6,9.2,28.6,,16.823529411764707,,20.467651057356328,DISCREPANT,217.57430209187677
NGC 4536,95,stellar absorption,HyperLEDA,PGC 41823,41823.0,2.4639999866485596,111.4,9.6,155.7,,91.58823529411764,,101.8750960004026,VERIFIED,14.72172351885099
NGC 4639,88,stellar absorption,HyperLEDA,PGC 42741,42741.0,2.4189999103546143,90.6,4.0,165.9,,97.58823529411765,,91.84763005962125,VERIFIED,2.8697571743929298
NGC 4680,92,stellar absorption,HyperLEDA,PGC 43118,43118.0,2.4079999923706055,,,94.5,,55.588235294117645,,89.5505044685343,NO_SIGMA_DATA,
NGC 5468,110,stellar absorption,HyperLEDA,PGC 50323,50323.0,2.0239999294281006,,,150.9,,88.76470588235294,,36.988606811910195,NO_SIGMA_DATA,
NGC 5584,98,stellar absorption,HyperLEDA,PGC 51344,51344.0,2.2249999046325684,,,124.7,,73.3529411764706,,58.75812773149536,NO_SIGMA_DATA,
NGC 5643,107,stellar absorption,HyperLEDA,PGC 51969,51969.0,2.2260000705718994,,,171.2,,100.70588235294117,,58.8936017075465,NO_SIGMA_DATA,
NGC 5728,175,stellar absorption,Kormendy&Ho2013,PGC 52521,52521.0,2.566999912261963,197.2,14.1,224.4,,132.0,,129.14213340970133,VERIFIED,11.257606490872206
NGC 5861,102,stellar absorption,HyperLEDA,PGC 54097,54097.0,2.4719998836517334,,,158.5,,93.23529411764706,,103.76907083342903,NO_SIGMA_DATA,
NGC 5917,88,stellar absorption,HyperLEDA,PGC 54809,54809.0,,,,92.6,,54.470588235294116,,,NO_SIGMA_DATA,
NGC 7250,52,HI linewidth proxy,HyperLEDA,PGC 214816,,,,,,,,,,NOT_FOUND,
NGC 7329,165,stellar absorption,HyperLEDA,PGC 69453,69453.0,2.5390000343322754,,,250.9,,147.58823529411765,,121.07879181078228,NO_SIGMA_DATA,
NGC 7541,125,stellar absorption,HyperLEDA,PGC 70795,70795.0,2.5969998836517334,64.4,34.6,207.8,,122.23529411764707,,138.37827995205168,DISCREPANT,94.09937888198756
NGC 7678,138,stellar absorption,SDSS DR7,PGC 71534,71534.0,2.4260001182556152,102.3,43.0,200.8,,118.11764705882354,,93.34007867415593,DISCREPANT,34.89736070381232
NGC 0976,110,HI linewidth proxy,HyperLEDA,PGC 9776,9776.0,2.4590001106262207,,,405.0,,238.23529411764707,,100.70897016896716,VERIFIED,9.225622916652382
NGC 976,110,HI linewidth proxy,HyperLEDA,PGC 9776,9776.0,2.4590001106262207,,,405.0,,238.23529411764707,,100.70897016896716,VERIFIED,9.225622916652382
NGC 105,85,HI linewidth proxy,HyperLEDA,PGC 212515,212515.0,,,,96.4,,56.70588235294118,,,DISCREPANT,49.896265560165965
NGC 1337,94,HI linewidth proxy,HyperLEDA,PGC 12916,12916.0,2.3369998931884766,,,109.1,,64.17647058823529,,76.04452255763951,DISCREPANT,23.611795877541038
NGC 4038,107,HI linewidth proxy,HyperLEDA,PGC 37967,37967.0,2.440999984741211,,,169.1,,99.47058823529412,,96.62022157299337,VERIFIED,10.742863406874976
UGC 9391,68,HI linewidth proxy,HyperLEDA,PGC 52091,52091.0,2.003999948501587,,,75.7,,44.529411764705884,,35.32384682400038,DISCREPANT,92.50451497767845
NGC 4258,115,stellar absorption,Kormendy&Ho2013,PGC 39600,39600.0,2.5910000801086426,132.8,7.4,212.9,,125.23529411764707,,136.47972051142304,VERIFIED,13.403614457831333
M 31,160,stellar absorption,Kormendy&Ho2013,PGC 2557,2557.0,2.684000015258789,153.9,3.6,256.7,,151.0,,169.07058665415795,VERIFIED,3.9636127355425566
M 101,28,HI linewidth proxy,HyperLEDA,PGC 50063,50063.0,2.13700008392334,43.7,14.0,274.1,,161.23529411764707,,47.980871087622795,DISCREPANT,41.643410456499794
LMC,24,stellar kinematics,vdMarel+2002,PGC 17223,17223.0,,,,46.6,,27.411764705882355,,,NO_SIGMA_DATA,
SMC,22,stellar kinematics,Harris&Zaritsky2006,PGC 3085,3085.0,,,,43.4,,25.52941176470588,,,NO_SIGMA_DATA,
MW,30,disk kinematics,Bovy+2012,MW,,,,,,,,,,NOT_FOUND,
